Diagonisis Code,Disease,Description,Common Symptomps,Medicine,Doctor,Doctor's Number,Doctor's Address
16590-191,Apiaceae,Encounter for other prophylactic surgery,Proteus enteritis,Promethazine Hydrochloride,Creigh Brace,(520) 3936193,86149 Cascade Drive
54868-6070,Asteraceae,Encounter for examination for driving license,Oth spcf retention urine,Exelon,Mindy Balk,(482) 8489823,13886 Prentice Court
35000-002,Fabaceae,"Shock due to anesthesia, subsequent encounter",Pneumonia oth spcf bact,Colgate,Babita Spurling,(647) 8079177,6931 Barby Hill
42221-0002,Brassicaceae,"Nondisplaced fracture of neck of left radius, subsequent encounter for open fracture type I or II with malunion",Soccer,MANGO BUTTER LIPSTICK,Sloan Dinsey,(791) 5637411,2293 Mallory Place
76049-006,Boraginaceae,"Strain of long flexor muscle, fascia and tendon of left thumb at wrist and hand level, subsequent encounter",TB of thyroid-histo dx,stila CC color correcting broad-spectrum SPF 20 06 WARM,Rosy Blanchet,(812) 9713842,53 Muir Place
54868-5041,Moraceae,"Puncture wound with foreign body of thyroid gland, initial encounter",Orthotic training,Amnesteem,Dorry Gerretsen,(370) 6015397,0265 Surrey Trail
59779-830,Elaeagnaceae,Other mechanical complication of other urinary catheter,Conduction disorder NEC,Mouth Sore Relief,Athena Adshad,(357) 3996147,1 Blackbird Crossing
52862-303,Onagraceae,Benign neoplasm of vagina,Edema of penis,Health Smart Instant Hand Sanitizer with aloe vera and vitamin e lavender,Quincey Posvner,(823) 5471026,345 Pawling Hill
10565-066,Asteraceae,Fracture of unspecified phalanx of unspecified thumb,Medullary cystic kidney,Roll On Anti Perspirant,Katina Bullin,(968) 9758984,85465 Surrey Park
65597-103,Onagraceae,"Maternal care for other isoimmunization, second trimester, fetus 5",Abort NOS w pel inf-unsp,Benicar,Salomon Cleugh,(851) 3287735,06521 Portage Crossing
42961-008,Hypnaceae,"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",Deep 3 deg burn finger,Antibacterial Handsoap,Jenna Warrick,(339) 9790060,076 Carberry Terrace
35356-513,Orchidaceae,Loose body in right toe joint(s),Mal neo super nasopharyn,carvedilol,Agnes Badland,(194) 7977154,06898 East Place
65044-2620,Coniocybaceae,"Glaucoma secondary to eye trauma, unspecified eye, mild stage",Poison-sympathomimetics,"Pollens - Trees, Tree Mix 11",Ddene Pine,(738) 5645295,4 Corscot Junction
52125-362,Apocynaceae,"Poisoning by other synthetic narcotics, undetermined, sequela",Panophthalmitis,Terazosin hydrochloride,Malorie Beere,(553) 3729875,17570 Hoepker Crossing
70253-480,Agyriaceae,"Stress fracture, unspecified femur, initial encounter for fracture",Alternating esotropia,Nite Time Cold/Flu Relief,Maegan Hemmingway,(479) 7585780,94091 Declaration Center
54868-4835,Fabroniaceae,"Puncture wound with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, sequela",Dyshidrosis,Ditropan,Emogene Fysh,(144) 8384919,3 Center Circle
49288-0210,Gesneriaceae,"Nondisplaced fracture of lesser trochanter of right femur, sequela",Fracture two ribs-open,Number Four Mold Mixture,Myer Aldhouse,(421) 8698703,3 Lakeland Park
49304-0014,Asteraceae,Displaced transverse fracture of shaft of unspecified radius,Nodular episcleritis,Happy Happy,Jaimie Canham,(444) 7983310,39741 Carioca Lane
24987-111,Cyperaceae,"Nondisplaced fracture of neck of first metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",NB temp regulat dis NEC,Nilandron,Minta Paulin,(255) 1112766,9762 Village Junction
55424-1238,Brassicaceae,"Unspecified fracture of fourth metacarpal bone, left hand, subsequent encounter for fracture with routine healing",Path fx oth spcf prt fmr,Nan San MUSFLEX External Analgesic,Micaela Despenser,(899) 6228887,53095 Messerschmidt Junction
0573-0188,Rutaceae,"Flail chest, subsequent encounter for fracture with routine healing",Dis amino-acid metab NOS,ADVIL ALLERGY SINUS,Cleo Aberkirder,(358) 5215851,6605 Logan Pass
64205-006,Scrophulariaceae,Transcobalamin II deficiency,Renal dis NOS-antepartum,simvastatin,Burt Tredger,(326) 8868609,70 Holmberg Drive
55154-4227,Dicranaceae,"Ophthalmia nodosa, bilateral",Malign neopl urethra,Rapamune,Giorgia Peplay,(377) 6963402,5669 Schiller Center
36987-2792,Arecaceae,Person on outside of heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident,Acc poison-cleanser NOS,Mesquite,Marybelle Colebourne,(872) 6592918,6 Clarendon Lane
0093-6902,Physciaceae,"Underdosing of tetracyclines, initial encounter",W/crft-military NEC/NOS,Fentanyl,Giuditta Canner,(176) 1120865,6 Clyde Gallagher Park
36987-1669,Teloschistaceae,"Asphyxiation due to smothering under another person's body (in bed), assault",Sixth nerve palsy,Bay Leaf,Inna Buist,(448) 9920398,77380 Hagan Trail
76282-225,Araceae,"Corrosion of unspecified degree of back of right hand, initial encounter",Infect/parasite dis NOS,Gemfibrozil,Filmore Jayne,(937) 4513745,11359 Haas Crossing
63629-5058,Onagraceae,"Nondisplaced transverse fracture of shaft of left radius, subsequent encounter for closed fracture with nonunion",Anatomical narrow angle,CELEBREX,Kai Rapa,(104) 3889183,7 Dixon Street
51270-120,Sapotaceae,"Other mechanical complication of other vascular grafts, sequela",Fx ulna shaft-open,HASOL Intensive Scalp Tonic,Pate Plank,(500) 7329141,2 Shoshone Street
36987-2685,Fabaceae,"Fracture of alveolus of maxilla, subsequent encounter for fracture with delayed healing",Person living alone,One Seed Juniper,Jessalin Eddow,(887) 7534893,3 Rutledge Lane
54868-6355,Schistostegaceae,"Injury of cutaneous sensory nerve at lower leg level, unspecified leg",Palsy of conjugate gaze,PRED MILD,Jude Gelland,(223) 9056715,9 Main Way
42926-161,Salicaceae,"Other superficial bite of left great toe, initial encounter",Mal neo cereb ventricle,Ginger Lime hand sanitizer,Fannie Lawranson,(994) 6406346,78513 Ryan Parkway
51143-439,Commelinaceae,"Person on outside of snowmobile injured in nontraffic accident, subsequent encounter",Abdmnal mass periumbilic,Advanced Hand Sanitizer,Tedmund Cristol,(522) 5450163,244 Quincy Place
11822-1105,Scrophulariaceae,"Retinal artery branch occlusion, right eye",Constrictiv pericarditis,First Aid Bacitracin Zinc,Matteo Balsellie,(820) 1303898,6 Green Park
53113-263,Orchidaceae,"Superficial foreign body of unspecified part of neck, sequela",Ascites NEC,Gadaderm Antifungal,Von Courage,(732) 6325685,71 Corry Hill
49817-1991,Malvaceae,"Spontaneous rupture of flexor tendons, upper arm",War inj:aircraft fire,Fresh Umbrian Clay Freshface Foundation SPF 20 Sun Empress,Willie Winspur,(167) 3031863,64 Hazelcrest Place
50972-278,Brassicaceae,"Displaced supracondylar fracture without intracondylar extension of lower end of right femur, subsequent encounter for closed fracture with malunion",Abn react-artif implant,ArthriPain Relief,Carmencita Jiru,(682) 5063022,64216 Donald Drive
13537-171,Fabaceae,"Other ossification of muscle, unspecified ankle and foot",Screen-traumtc brain inj,CY BETTER LIPS BALM Humectante para Labios con color FPS 18,Peadar Jevon,(662) 8507872,03911 Little Fleur Terrace
55154-3430,Icacinaceae,"Pedestrian on foot injured in collision with railway train or railway vehicle in traffic accident, initial encounter",Adv eff hormones NEC/NOS,Ceftriaxone Sodium,Alvis Badby,(788) 9972376,8 Little Fleur Court
0338-6011,Fabaceae,"Displaced segmental fracture of shaft of ulna, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",N-traf brd/alight-mocycl,Milrinone Lactate in Dextrose,Florentia Ondricek,(843) 3878783,291 Clove Street
35000-867,Fabaceae,Paraneoplastic neuromyopathy and neuropathy,Cl skul base fx-mod coma,Speed Stick,Russell Leppingwell,(373) 5757326,609 Schlimgen Crossing
48951-8030,Liliaceae,"Displaced segmental fracture of shaft of left femur, subsequent encounter for open fracture type I or II with delayed healing",Cerebell contus-brf coma,Phosphorus comp.,Cara Shewen,(906) 5251161,73671 Katie Trail
54973-3015,Asteraceae,Breakdown (mechanical) of femoral arterial graft (bypass),Orthoptic training,COMPLETE FLU CARE,Tiffy Fellgatt,(192) 6886597,9 Darwin Alley
0591-2404,Aristolochiaceae,"Torus fracture of lower end of left ulna, sequela",Osteodystrophy NOS,Doxycycline Monohydrate,Mattie Sizeland,(400) 3737017,648 Lake View Court
66336-377,Asteraceae,"Other dislocation of right foot, initial encounter",Rh isoimmunization-unsp,Minocycline Hydrochloride,Dukey Le Provest,(617) 4300832,13 4th Parkway
54838-138,Rutaceae,"Poisoning by unspecified agents primarily acting on the respiratory system, intentional self-harm, sequela",Cns disorder NOS,Diabetic Siltussin DAS-Na,Nichols Tremeer,(930) 3230036,68158 Carpenter Hill
42002-215,Juncaceae,"Fall due to uncontrolled fire, not in building or structure",2 deg burn back of hand,Visine Advanced Relief,Arlee Rennick,(357) 7931604,384 Macpherson Way
39313-006,Gesneriaceae,"Pressure ulcer of right lower back, stage 2",Polycythemia neonatorum,NITROGEN,Vallie Meegan,(815) 8538569,29 Maple Wood Street
21221-001,Apiaceae,"Underdosing of unspecified narcotics, subsequent encounter",Circadian rhym-irreg slp,Nitrogen,Donovan Fowell,(870) 5104760,46 Parkside Street
46122-184,Parmeliaceae,"Toxic effect of arsenic and its compounds, undetermined, initial encounter",Salivary gland dis NOS,Day time,Sissie Heers,(334) 2049239,26369 Tomscot Court
43948-5003,Rhamnaceae,"Unspecified injury of unspecified quadriceps muscle, fascia and tendon, subsequent encounter",Eclampsia-unspecified,Dr Young 2p Brightening UV Sun Block SPF50 PA,Moritz Ord,(131) 6250896,19409 Loeprich Lane
60681-2802,Asteraceae,"Pathological fracture, right femur, sequela",Benign hyp ht dis w/o hf,Pleo Poly D,Fleurette Bickers,(527) 9830775,11588 Sutteridge Terrace
61587-1001,Thymelaeaceae,"Hang-glider crash injuring occupant, initial encounter",Optic atrophy NOS,Hwang Geum-San Gold Hair,Arnoldo Fibbitts,(933) 1924450,42 7th Point
68428-016,Araceae,"Other specified injuries of lower back, initial encounter",Alcoholic polyneuropathy,Skin Irritation,Meggi Beaufoy,(733) 8717436,9 Ilene Avenue
68196-800,Asteraceae,"Poisoning by loop [high-ceiling] diuretics, assault, initial encounter",TB of bladder-micro dx,Simply Right Omeprazole,Rubin Olyunin,(391) 7260177,8 Union Trail
60505-6031,Caryophyllaceae,"Nondisplaced fracture of coronoid process of left ulna, subsequent encounter for closed fracture with delayed healing",Hemophagocytic syndromes,Cefepime,Stephan McMillan,(653) 1988054,01 Oak Valley Alley
13734-117,Poaceae,"Concussion and edema of cervical spinal cord, subsequent encounter",Intussusception,NARS FOUNDATION,Amble Pease,(487) 2365727,3520 Gerald Parkway
0264-7655,Boraginaceae,Presence of other heart-valve replacement,Catatonia-unspec,Potassium Chloride in Dextrose and Sodium Chloride,Lianne Suffield,(852) 3468663,23 Pierstorff Terrace
72036-227,Asteraceae,"Unspecified donor, stem cells",Hyperplasia of appendix,Harris Teeter,Kimmy Gelderd,(960) 7345062,1016 Dunning Center
13537-542,Amaranthaceae,"Insect bite (nonvenomous) of right ear, sequela",Chr thyroiditis NEC/NOS,LBEL COULEUR LUXE AMPLIFIER XP,Brooke Lucken,(672) 7442600,65 Melody Park
66977-022,Asclepiadaceae,"Subacute osteomyelitis, right ankle and foot",Acquired hypothyroid NEC,Norml Shield,Merle MacMoyer,(434) 1798410,2 Village Plaza
0603-1310,Salicaceae,"Fracture of unspecified part of right clavicle, subsequent encounter for fracture with malunion",Acc cut/hem w heart cath,Hydroxyzine Hydrochloride,Mariya Pavett,(333) 1787565,568 Mayer Street
41268-050,Vitaceae,"Other nondisplaced fracture of lower end of left humerus, subsequent encounter for fracture with malunion",Acute dacryocystitis,ibuprofen pm,Corena Ajsik,(699) 3643730,914 Spenser Way
11980-228,Asteraceae,"Other multiple births, all liveborn",Fx 1st metacarp base-opn,FML FORTE,Toma Geertz,(198) 2502324,0418 Pepper Wood Terrace
59115-044,Boraginaceae,"Other injury of other specified muscles, fascia and tendons at thigh level, right thigh, subsequent encounter",Toxic effect mushrooms,Amoxicillin,Brena Hue,(701) 6880370,79 Fieldstone Avenue
65862-207,Valerianaceae,Hypovolemia,Compl kidney transplant,Ribavirin,Torre Algate,(252) 4349201,4 Mosinee Drive
43063-072,Liliaceae,Lacrimal fistula bilateral lacrimal passages,Fail sterile proced NEC,Spironolactone,Kermit Geydon,(498) 5953048,56 Blaine Street
0310-0411,Asteraceae,"Poisoning by anterior pituitary [adenohypophyseal] hormones, assault, subsequent encounter",Hemorr/infarc thyroid,ZAFIRLUKAST,Kessiah Auger,(501) 4868473,35516 Stang Circle
42961-006,Acanthaceae,Major contusion of spleen,Corneal degeneration NOS,Instant Hand Sanitizer,Lonnie Chanders,(849) 2101263,5 Kingsford Hill
Jun-92,Saxifragaceae,"Amblyopia suspect, right eye",Damage to pelvic jt-del,RECOMBIVAX HB,Alyson Allardyce,(394) 5790789,8 Haas Center
52959-420,Cabombaceae,"Subluxation of carpometacarpal joint of right thumb, sequela",Poisoning-antipruritics,Hydromorphone Hydrochloride,Darius Samudio,(220) 1839602,44040 Melody Court
68151-1019,Amblystegiaceae,"Displaced apophyseal fracture of unspecified femur, subsequent encounter for closed fracture with nonunion",Mening in oth fungal dis,Dilantin,Hedwig Rubinivitz,(512) 1302123,6 Reinke Center
33261-437,Callicostaceae,"Adverse effect of anticoagulant antagonists, vitamin K and other coagulants, initial encounter",Tinea blanca,Amlodipine Besylate,Ingunna Harsent,(896) 1047095,38931 Ryan Center
11559-013,Portulacaceae,Open wound of front wall of thorax without penetration into thoracic cavity,Renal osteodystrophy,RESILIENCE LIFT,Lazaro Gage,(246) 5525197,65505 Canary Drive
51660-333,Rosaceae,Prostatodynia syndrome,Small intest inj NOS-cl,Arthritis Pain Reliever,Jorrie Wisher,(321) 3510245,39 Evergreen Pass
63304-772,Ericaceae,"Displaced fracture of neck of scapula, left shoulder, initial encounter for open fracture",Wiskott-aldrich syndrome,Lorazepam,Dorelia Beckles,(876) 4260609,7143 Kinsman Plaza
65342-1001,Juglandaceae,"Other superficial bite of breast, unspecified breast, sequela",Loc 2nd osteoarthros NEC,laura mercier Tinted Moisturizer Creme Compact Broad Spectrum SPF 20 Sunscreen PORCELAIN,Giulia Longmaid,(654) 2533513,4589 Bultman Drive
54868-6394,Marantaceae,Pityriasis versicolor,Transient hypersomnia,rizatriptan benzoate,Serene O'Currane,(738) 5645254,4701 Warbler Place
49288-0446,Liliaceae,"Exposure to smoke in uncontrolled fire, not in building or structure, subsequent encounter",Mixed intestine helminth,Slender Ragweed,Arabelle Linsey,(537) 6806509,1 Shasta Park
51079-412,Malvaceae,"Heat exposure on board unspecified watercraft, initial encounter",Forceps delivery aff NB,Atorvastatin Calcium,Silvio MacSkeaghan,(392) 5800604,5 Hagan Circle
36987-1382,Cladoniaceae,"Sprain of metatarsophalangeal joint of right great toe, subsequent encounter",Thyrotox NOS w crisis,Artichoke,Nathan Seabert,(754) 9614460,24 Kropf Court
53499-5090,Sphagnaceae,Acute delta-(super) infection of hepatitis B carrier,Disloc 5th cerv vert-opn,Arniflora,Dickie Reddings,(792) 8127565,1 Oneill Avenue
43063-213,Asteraceae,"Anterior dislocation of right humerus, initial encounter",Tox nod goiter no crisis,SERTRALINE HYDROCHLORIDE,Arabele Forestall,(314) 4565548,357 Starling Park
63868-191,Cannabaceae,"Injury of radial nerve at upper arm level, right arm, initial encounter",Radial styloid tenosynov,Nicotine Transdermal System,Mickie MacCorkell,(931) 8240916,4 Forster Court
49781-057,Poaceae,"Salter-Harris Type II physeal fracture of phalanx of left toe, initial encounter for closed fracture",Alternating esotropia,Leader Sinus and Cold-D,Marion Woolham,(689) 8109703,3678 Stang Place
59078-005,Asteraceae,"Displaced fracture of lower epiphysis (separation) of left femur, subsequent encounter for open fracture type I or II with delayed healing",Cardiac dysrhythmia NOS,G9 Whitening,Hastings Courteney,(314) 4766384,07199 Killdeer Junction
53808-0668,Dryopteridaceae,"Periprosthetic osteolysis of internal prosthetic right hip joint, sequela",Coagulat defect NEC/NOS,Levothyroxine Sodium,Lindsy Robbert,(457) 8655439,650 Atwood Street
0228-3062,Dicranaceae,"Pedestrian with other conveyance injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter",Compensatory emphysema,"Dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate, amphetamine sulfate",Cordey Duchatel,(206) 8985730,234 Sachtjen Road
68479-120,Lamiaceae,Sprain of right rotator cuff capsule,Poisoning-mixed vaccine,UltraSensitive Tint,Christal Innman,(932) 5741623,9588 Menomonie Point
0363-0871,Fabaceae,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right dominant side,"BMI 70 and over, adult",Hydrogen Peroxide,Dun Hilland,(234) 8577170,59141 Schlimgen Point
68647-200,Asteraceae,Ectopic tissue in lung,Postabort metabolic dis,StretchEasy Formula,Heywood Cardoo,(198) 4284953,23 Green Point
0536-1002,Asteraceae,Hypertrichosis of right upper eyelid,Shga txn prod E.coli NOS,Rugby Eye,Bradley Stickney,(251) 5042875,75362 Stuart Pass
